Marker,Score,Cycle,Channel
CD45,0.9999687671661377,1,4
CD20,0.996711015701294,2,2
CD21,0.939295768737793,4,3
E-CAD,0.9238770008087158,6,3
DAPI,0.8705645203590393,4,1
Ki67,0.8589754104614258,2,3
CD4,0.7969042658805847,4,4
DAPI,0.7289386987686157,7,1
DAPI,0.660990297794342,3,1
CD107a,0.6203702688217163,6,4
DAPI,0.5739133954048157,5,1
CD8,0.5649163126945496,1,3
CD44,0.5625687837600708,7,3
DAPI,0.5361573696136475,1,1
DAPI,0.5224782228469849,2,1
DAPI,0.5133594870567322,6,1
HistoneH3,0.4087463915348053,7,4
CD3e,0.3766500949859619,2,4
CD45RO,0.20559898018836975,5,3
Podoplanin,0.19289100170135498,3,3
CD68,0.1695241779088974,3,4
CD11c,0.14759960770606995,5,4
CD31,0.00030843334388919175,1,2
PanCK,0.0002307411195943132,4,2
Actin,0.0002228359953733161,3,2
EMPTY,0.0002185012708650902,5,2
EMPTY,0.0002185012708650902,6,2
EMPTY,0.0002185012708650902,7,2
